timestamp,path_id,point_index,x,y,z,qx,qy,qz,qw,topic
1774343099.944045,0,0,4.399857556413648,-0.0408752766719902,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343099.944045,0,1,3.670571804046631,0.1011748313903808,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343109.846072,0,0,3.8565962437627537,0.0332823212969967,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343109.846072,0,1,0.5250894832611084,0.0454411506652832,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343161.2541602,0,0,0.7172872335223746,0.0871093695991863,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343161.2541602,0,1,0.5417763423919678,1.1620726585388184,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343164.6645088,0,0,0.7201574743832477,1.0823763405297566,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343164.6645088,0,1,4.392393112182617,1.124298095703125,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343222.763836,0,0,4.194516099547184,1.1365618116750178,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343222.763836,0,1,7.505795478820801,1.042646408081055,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343267.869385,0,0,7.306129321993477,1.0440576572921838,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343267.869385,0,1,7.488017559051514,2.0662951469421387,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343271.0756807,0,0,7.318564329040397,1.9687775315320089,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343271.0756807,0,1,4.171625137329102,2.0878353118896484,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343321.372748,0,0,4.363392239942264,2.123247967698745,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343321.372748,0,1,0.7334710359573364,2.1907639503479004,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343378.6815634,0,0,0.924551728619857,2.1930720975333973,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343378.6815634,0,1,0.7540454864501953,3.344820022583008,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343381.88694,0,0,0.8354056609909781,3.190762310593352,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774343381.88694,0,1,4.030858993530273,3.2484703063964844,0.0,0.0,0.0,0.0,1.0,/simple_line_path
